Year,Month,Day,Hour,Count
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.000000000000000000e+01,1.036000000000000000e+03
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.100000000000000000e+01,3.540000000000000000e+03
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.200000000000000000e+01,3.540000000000000000e+03
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.300000000000000000e+01,3.540000000000000000e+03
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.400000000000000000e+01,3.540000000000000000e+03
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.500000000000000000e+01,3.540000000000000000e+03
2.025000000000000000e+03,3.000000000000000000e+00,2.400000000000000000e+01,1.600000000000000000e+01,2.140000000000000000e+02
