Year,Month,Day,Hour,Minute,Duration(sec)
2.025000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,2.100000000000000000e+01,1.700000000000000000e+01,2.900000000000000000e+01
2.025000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,2.100000000000000000e+01,1.800000000000000000e+01,5.900000000000000000e+01
2.025000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,2.100000000000000000e+01,1.900000000000000000e+01,5.900000000000000000e+01
2.025000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,2.100000000000000000e+01,2.000000000000000000e+01,5.900000000000000000e+01
2.025000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,2.100000000000000000e+01,2.100000000000000000e+01,5.900000000000000000e+01
2.025000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,2.100000000000000000e+01,2.200000000000000000e+01,1.300000000000000000e+01
