year month day hour minute second x y z
2025 2 4 18 49 55 -0.24 0.65 0.69
2025 2 4 18 49 55 -0.14 -2.82 1.13
2025 2 4 18 49 55 -0.10 -0.57 1.13
2025 2 4 18 49 55 0.98 1.04 1.04
2025 2 4 18 49 55 -0.09 0.25 0.85
2025 2 4 18 49 55 0.05 -0.00 1.02
2025 2 4 18 49 56 0.09 0.22 1.02
2025 2 4 18 49 56 0.06 -0.00 1.00
2025 2 4 18 49 56 0.07 -0.00 1.01
2025 2 4 18 49 56 0.06 -0.00 1.00
2025 2 4 18 49 56 0.07 0.02 1.01
2025 2 4 18 49 56 0.02 -0.14 1.12
2025 2 4 18 49 56 -0.03 -0.05 1.01
2025 2 4 18 49 56 -0.02 0.10 0.92
2025 2 4 18 49 57 0.02 0.12 1.18
2025 2 4 18 49 57 -0.06 0.01 0.98
2025 2 4 18 49 57 -0.11 0.24 1.02
2025 2 4 18 49 57 -0.08 0.14 0.97
2025 2 4 18 49 57 -0.09 0.14 1.00
2025 2 4 18 49 57 -0.06 0.06 1.01
2025 2 4 18 49 57 -0.07 0.11 0.96
2025 2 4 18 49 57 -0.12 0.05 0.98
2025 2 4 18 49 57 -0.11 0.07 0.97
2025 2 4 18 49 58 -0.09 0.10 1.02
2025 2 4 18 49 58 -0.08 0.09 1.02
2025 2 4 18 49 58 -0.05 0.12 1.10
2025 2 4 18 49 58 -0.17 0.02 0.71
2025 2 4 18 49 58 -0.18 0.16 1.01
2025 2 4 18 49 58 -0.14 -0.02 0.91
2025 2 4 18 49 58 -0.12 0.05 0.97
2025 2 4 18 49 58 -0.11 0.06 1.02
2025 2 4 18 49 59 -0.11 0.07 1.00
2025 2 4 18 49 59 -0.09 0.01 0.98
2025 2 4 18 49 59 -0.11 0.18 1.02
2025 2 4 18 49 59 -0.10 0.11 0.98
2025 2 4 18 49 59 -0.08 -0.05 0.93
2025 2 4 18 49 59 0.00 0.03 0.83
2025 2 4 18 49 59 0.10 -0.02 1.04
2025 2 4 18 49 59 0.04 0.00 1.05
2025 2 4 18 50 0 -0.15 0.01 0.99
2025 2 4 18 50 0 0.34 0.36 1.06
2025 2 4 18 50 0 -1.50 0.27 1.11
2025 2 4 18 50 0 0.58 0.37 0.85
2025 2 4 18 50 0 -0.44 0.05 1.02
2025 2 4 18 50 0 0.96 -0.65 1.10
2025 2 4 18 50 0 0.15 -0.39 0.96
2025 2 4 18 50 0 -0.15 0.73 1.00
2025 2 4 18 50 1 0.70 0.32 0.84
2025 2 4 18 50 1 -0.96 -0.32 1.18
2025 2 4 18 50 1 1.06 0.54 0.96
2025 2 4 18 50 1 1.20 0.46 1.14
2025 2 4 18 50 1 -0.13 -0.62 1.16
2025 2 4 18 50 1 -1.18 0.56 1.01
2025 2 4 18 50 1 1.53 -0.03 1.09
2025 2 4 18 50 1 0.58 -0.25 0.84
2025 2 4 18 50 1 -1.78 0.19 1.31
2025 2 4 18 50 2 0.90 0.18 1.12
2025 2 4 18 50 2 0.63 -0.11 1.00
2025 2 4 18 50 2 -0.97 -0.19 0.96
2025 2 4 18 50 2 0.64 -0.29 1.15
2025 2 4 18 50 2 0.38 -0.04 0.97
2025 2 4 18 50 2 0.10 0.42 1.03
2025 2 4 18 50 2 0.23 -0.14 1.01
2025 2 4 18 50 2 -0.09 0.28 1.02
2025 2 4 18 50 3 0.38 -0.20 1.00
2025 2 4 18 50 3 -0.98 0.11 1.10
2025 2 4 18 50 3 0.19 0.03 1.00
2025 2 4 18 50 3 0.02 0.01 1.04
2025 2 4 18 50 3 0.05 0.05 0.87
2025 2 4 18 50 3 -0.02 0.12 0.49
2025 2 4 18 50 3 0.06 -0.03 0.62
2025 2 4 18 50 3 0.37 -0.12 1.66
2025 2 4 18 50 4 0.10 0.10 0.29
2025 2 4 18 50 4 0.42 0.09 1.31
2025 2 4 18 50 4 0.23 0.14 0.68
2025 2 4 18 50 4 0.09 0.12 0.75
2025 2 4 18 50 4 0.25 -0.03 1.30
2025 2 4 18 50 4 -0.05 0.05 0.39
2025 2 4 18 50 4 0.09 0.18 1.10
2025 2 4 18 50 4 0.15 0.23 0.72
2025 2 4 18 50 4 -0.03 0.05 0.79
2025 2 4 18 50 5 0.24 -0.25 1.23
2025 2 4 18 50 5 -0.05 -0.06 -0.07
2025 2 4 18 50 5 0.67 0.20 1.61
2025 2 4 18 50 5 0.00 0.12 0.54
2025 2 4 18 50 5 -0.11 0.01 1.00
2025 2 4 18 50 5 0.37 0.20 1.04
2025 2 4 18 50 5 0.15 0.02 0.99
2025 2 4 18 50 5 0.22 0.07 0.99
2025 2 4 18 50 6 0.27 0.10 1.02
2025 2 4 18 50 6 0.21 0.18 0.94
2025 2 4 18 50 6 0.21 0.11 0.88
2025 2 4 18 50 6 0.15 0.11 0.91
2025 2 4 18 50 6 -0.02 -0.02 0.75
2025 2 4 18 50 6 0.09 0.20 1.24
2025 2 4 18 50 6 -0.08 0.10 0.73
2025 2 4 18 50 6 -0.08 0.42 2.00
2025 2 4 18 50 7 -0.18 -0.02 0.41
2025 2 4 18 50 7 0.23 -0.12 -0.76
2025 2 4 18 50 7 -0.37 0.06 2.92
2025 2 4 18 50 7 -0.30 -0.09 0.45
2025 2 4 18 50 7 0.24 -0.14 -0.39
2025 2 4 18 50 7 -0.13 0.31 3.77
2025 2 4 18 50 7 -0.55 -0.31 -0.07
2025 2 4 18 50 7 0.35 0.11 -0.11
2025 2 4 18 50 7 -0.12 0.30 3.43
2025 2 4 18 50 8 -0.42 0.21 0.23
2025 2 4 18 50 8 -0.29 0.21 -0.45
2025 2 4 18 50 8 0.75 -0.22 -0.31
2025 2 4 18 50 8 0.33 -0.12 2.08
2025 2 4 18 50 8 0.01 0.23 -0.36
2025 2 4 18 50 8 0.69 -0.15 -0.10
2025 2 4 18 50 8 -0.46 0.19 2.00
2025 2 4 18 50 8 -0.59 0.05 -0.18
2025 2 4 18 50 9 0.78 -0.06 -0.01
2025 2 4 18 50 9 -0.73 0.40 3.25
2025 2 4 18 50 9 -0.68 -0.11 0.67
2025 2 4 18 50 9 -0.36 -0.15 0.03
2025 2 4 18 50 9 -0.21 -0.12 0.54
2025 2 4 18 50 9 0.01 0.05 1.10
2025 2 4 18 50 9 0.11 -0.01 1.22
2025 2 4 18 50 9 0.06 -0.11 1.06
2025 2 4 18 50 10 0.08 -0.05 0.86
2025 2 4 18 50 10 0.11 0.06 1.01
2025 2 4 18 50 10 0.13 -0.00 1.00
2025 2 4 18 50 10 0.12 -0.01 1.00
2025 2 4 18 50 10 0.12 -0.01 1.00
2025 2 4 18 50 10 0.12 -0.01 1.00
2025 2 4 18 50 10 0.12 -0.01 1.00
2025 2 4 18 50 10 0.12 -0.01 1.00
2025 2 4 18 50 10 0.12 -0.01 1.00
2025 2 4 18 50 11 0.12 -0.01 1.00
2025 2 4 18 50 11 0.12 -0.01 1.00
2025 2 4 18 50 11 0.12 -0.01 1.00
2025 2 4 18 50 11 0.12 -0.01 1.00
2025 2 4 18 50 11 0.11 -0.00 1.00
2025 2 4 18 50 11 0.12 -0.01 1.00
2025 2 4 18 50 11 0.11 -0.01 1.00
2025 2 4 18 50 11 0.12 -0.01 1.00
2025 2 4 18 50 12 0.11 -0.00 1.00
2025 2 4 18 50 12 0.11 -0.01 1.00
2025 2 4 18 50 12 0.12 -0.01 1.00
2025 2 4 18 50 12 0.12 -0.01 1.00
2025 2 4 18 50 12 0.11 -0.01 1.00
2025 2 4 18 50 12 0.12 -0.00 1.00
2025 2 4 18 50 12 0.11 -0.01 1.00
2025 2 4 18 50 12 0.12 -0.01 1.00
2025 2 4 18 50 13 0.12 -0.00 1.00
2025 2 4 18 50 13 0.12 -0.01 1.00
2025 2 4 18 50 13 0.11 -0.01 1.00
2025 2 4 18 50 13 0.12 -0.01 1.00
2025 2 4 18 50 13 0.12 -0.00 1.00
2025 2 4 18 50 13 0.12 -0.01 1.00
2025 2 4 18 50 13 0.11 -0.01 1.00
2025 2 4 18 50 13 0.12 -0.01 1.00
2025 2 4 18 50 13 0.11 -0.00 1.00
2025 2 4 18 50 14 0.12 -0.01 1.00
2025 2 4 18 50 14 0.11 -0.01 1.00
2025 2 4 18 50 14 0.12 -0.01 1.00
2025 2 4 18 50 14 0.12 -0.01 1.00
2025 2 4 18 50 14 0.12 -0.01 1.00
2025 2 4 18 50 14 0.12 -0.01 1.00
2025 2 4 18 50 14 0.12 -0.01 1.00
2025 2 4 18 50 14 0.11 -0.01 1.00
2025 2 4 18 50 15 0.12 -0.01 1.00
2025 2 4 18 50 15 0.12 -0.01 1.00
2025 2 4 18 50 15 0.11 -0.01 1.00
2025 2 4 18 50 15 0.12 -0.01 1.00
2025 2 4 18 50 15 0.11 -0.01 1.00
2025 2 4 18 50 15 0.12 -0.01 1.00
2025 2 4 18 50 15 0.12 -0.01 1.00
2025 2 4 18 50 15 0.12 -0.01 1.00
2025 2 4 18 50 16 0.12 -0.01 1.00
2025 2 4 18 50 16 0.12 -0.01 1.00
2025 2 4 18 50 16 0.12 -0.01 1.00
2025 2 4 18 50 16 0.12 -0.01 1.00
2025 2 4 18 50 16 0.11 -0.01 1.00
2025 2 4 18 50 16 0.12 -0.01 1.00
2025 2 4 18 50 16 0.12 -0.01 1.00
2025 2 4 18 50 16 0.11 -0.01 1.00
2025 2 4 18 50 17 0.12 -0.01 1.00
2025 2 4 18 50 17 0.12 -0.01 1.00
2025 2 4 18 50 17 0.11 -0.01 1.00
2025 2 4 18 50 17 0.12 -0.01 1.00
2025 2 4 18 50 17 0.12 -0.01 1.00
2025 2 4 18 50 17 0.11 -0.01 1.00
2025 2 4 18 50 17 0.12 -0.01 1.00
2025 2 4 18 50 17 0.11 -0.01 1.00
2025 2 4 18 50 17 0.11 -0.01 1.00
2025 2 4 18 50 18 0.12 -0.01 1.00
2025 2 4 18 50 18 0.12 -0.01 1.00
2025 2 4 18 50 18 0.12 -0.01 1.00
2025 2 4 18 50 18 0.11 -0.01 1.00
2025 2 4 18 50 18 0.12 -0.01 1.00
2025 2 4 18 50 18 0.11 -0.01 1.00
2025 2 4 18 50 18 0.12 -0.01 1.00
2025 2 4 18 50 18 0.11 -0.01 1.00
2025 2 4 18 50 19 0.12 -0.01 1.00
2025 2 4 18 50 19 0.11 -0.01 1.00
2025 2 4 18 50 19 0.12 -0.01 1.00
2025 2 4 18 50 19 0.11 -0.01 1.00
2025 2 4 18 50 19 0.11 -0.01 1.00
2025 2 4 18 50 19 0.11 -0.01 1.00
2025 2 4 18 50 19 0.11 -0.01 1.00
2025 2 4 18 50 19 0.12 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 20 0.12 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 20 0.12 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 20 0.11 -0.01 1.00
2025 2 4 18 50 21 0.11 -0.01 1.00
2025 2 4 18 50 21 0.12 -0.01 1.00
2025 2 4 18 50 21 0.12 -0.01 1.00
2025 2 4 18 50 21 0.12 -0.01 1.00
2025 2 4 18 50 21 0.11 -0.01 1.00
2025 2 4 18 50 21 0.11 -0.01 1.00
2025 2 4 18 50 21 0.12 -0.01 1.00
2025 2 4 18 50 21 0.11 -0.01 1.00
2025 2 4 18 50 22 0.12 -0.01 1.00
2025 2 4 18 50 22 0.11 -0.01 1.00
2025 2 4 18 50 22 0.12 -0.01 1.00
2025 2 4 18 50 22 0.11 -0.01 1.00
2025 2 4 18 50 22 0.11 -0.01 1.00
2025 2 4 18 50 22 0.11 -0.01 1.00
2025 2 4 18 50 22 0.11 -0.01 1.00
2025 2 4 18 50 22 0.12 -0.01 1.00
2025 2 4 18 50 23 0.12 -0.01 1.00
2025 2 4 18 50 23 0.11 -0.01 1.00
2025 2 4 18 50 23 0.11 -0.01 1.00
2025 2 4 18 50 23 0.12 -0.01 1.00
2025 2 4 18 50 23 0.11 -0.01 1.00
2025 2 4 18 50 23 0.11 -0.01 1.00
2025 2 4 18 50 23 0.11 -0.01 1.00
2025 2 4 18 50 23 0.11 -0.01 1.00
2025 2 4 18 50 23 0.12 -0.01 1.00
2025 2 4 18 50 24 0.11 -0.01 1.00
2025 2 4 18 50 24 0.12 -0.01 1.00
2025 2 4 18 50 24 0.11 -0.01 1.00
2025 2 4 18 50 24 0.11 -0.01 1.00
2025 2 4 18 50 24 0.11 -0.01 1.00
2025 2 4 18 50 24 0.11 -0.01 1.00
2025 2 4 18 50 24 0.11 -0.01 1.00
2025 2 4 18 50 24 0.12 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 25 0.12 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 25 0.11 -0.01 1.00
2025 2 4 18 50 26 0.11 -0.01 1.00
2025 2 4 18 50 26 0.11 -0.01 1.00
2025 2 4 18 50 26 0.11 -0.01 1.00
2025 2 4 18 50 26 0.12 -0.01 1.00
2025 2 4 18 50 26 0.11 -0.01 1.00
2025 2 4 18 50 26 0.11 -0.01 1.00
2025 2 4 18 50 26 0.12 -0.01 1.00
2025 2 4 18 50 26 0.11 -0.01 1.00
2025 2 4 18 50 27 0.12 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 27 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 28 0.11 -0.01 1.00
2025 2 4 18 50 29 0.12 -0.01 1.00
2025 2 4 18 50 29 0.11 -0.01 1.00
2025 2 4 18 50 29 0.12 -0.01 1.00
2025 2 4 18 50 29 0.12 -0.01 1.00
2025 2 4 18 50 29 0.11 -0.01 1.00
2025 2 4 18 50 29 0.12 -0.01 1.00
2025 2 4 18 50 29 0.12 -0.01 1.00
2025 2 4 18 50 29 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.12 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 30 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 31 0.11 -0.01 1.00
2025 2 4 18 50 32 0.11 -0.01 1.00
2025 2 4 18 50 32 0.11 -0.01 1.00
2025 2 4 18 50 32 0.11 -0.01 1.00
2025 2 4 18 50 32 0.11 -0.01 1.00
2025 2 4 18 50 32 0.11 -0.01 1.00
