x y z
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.01 -0.01 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.01 0.03 1.03
0.01 0.02 0.98
-0.27 -0.18 1.14
-0.18 -0.17 1.07
-0.38 -0.15 1.00
-0.44 -0.20 0.94
-0.45 0.01 0.75
-0.49 0.05 0.79
-0.54 -0.01 0.85
-0.62 -0.06 0.88
-0.44 0.11 0.56
-0.65 0.12 0.19
-0.56 -0.01 0.80
-0.60 -0.04 0.87
-0.44 0.07 0.56
-0.57 0.02 0.71
-0.59 -0.13 0.74
-0.55 0.04 0.71
-0.46 -0.04 0.63
-0.29 -0.06 0.62
-0.44 -0.02 0.62
-0.38 -0.03 0.61
-0.20 0.17 0.88
-0.28 0.36 0.79
-0.28 0.16 -0.13
-0.78 -0.25 0.64
-0.69 0.19 0.69
-0.86 -0.00 0.09
-0.63 0.10 0.95
-0.60 0.18 -0.40
-0.79 0.14 0.15
-0.44 0.10 0.80
-0.46 0.01 0.85
-0.51 0.03 0.93
-0.50 0.05 0.84
-0.52 0.05 0.85
-0.53 0.04 0.87
-0.60 0.24 0.15
-0.57 0.04 0.93
-0.53 0.04 0.88
-0.54 -0.13 0.98
-0.58 0.03 0.80
-0.44 0.05 0.90
-0.50 0.04 0.78
-0.54 -0.00 0.88
-0.48 0.02 0.94
-0.51 0.05 0.88
-0.48 -0.12 0.89
-0.49 0.03 0.93
-0.48 0.03 0.97
-0.48 0.12 0.86
-0.13 -0.30 1.08
-1.22 -0.83 0.82
-0.50 -0.05 1.06
-0.46 0.23 0.75
-0.50 -0.55 1.10
-0.45 -0.00 0.97
-0.35 0.30 0.82
-0.48 0.10 0.84
-0.39 0.16 0.72
-0.45 0.07 0.85
-0.43 0.15 0.74
0.79 0.21 0.19
-0.50 -0.01 1.03
-0.36 0.21 0.91
0.87 4.00 2.22
-0.48 -0.03 1.01
-0.18 0.11 0.98
-0.51 -0.00 1.03
-0.46 -0.47 0.96
-0.46 0.07 0.84
-0.50 0.11 0.78
-0.48 0.04 0.87
-0.42 0.07 0.91
-0.46 0.07 0.86
-0.45 0.06 0.90
-0.49 0.08 0.88
-0.51 0.04 0.90
-0.47 0.06 0.88
-0.50 0.09 0.89
-0.50 0.01 0.90
-0.49 0.05 0.90
-0.51 -0.03 0.97
-0.48 0.02 0.89
-1.38 -2.36 0.27
-0.56 -0.06 1.00
-0.51 0.01 0.89
-0.47 0.00 0.84
-0.46 0.05 0.79
-0.51 0.01 0.88
-0.48 -0.02 0.90
-0.36 -0.08 0.97
-0.45 -0.02 0.85
-0.48 -0.05 0.89
-0.40 -0.05 0.98
-0.34 -0.04 0.96
-0.34 -0.14 1.02
-0.33 -0.10 0.98
-0.31 -0.02 0.92
-0.20 -0.05 0.95
-0.19 -0.05 0.98
-0.19 -0.06 1.05
-0.03 -0.06 0.87
-0.12 -0.49 2.47
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.02 0.00 1.02
0.02 -0.00 1.02
0.02 -0.00 1.02
0.05 0.01 1.02
-0.20 -0.11 1.05
0.03 0.08 1.00
0.00 0.03 1.00
